VOCABLO TÉCNICO (TECNICISMO),DEFINICIÓN EN LENGUAJE COMÚN
Acreditar,Demostrar con pruebas que un hecho ocurrió o es verdadero.
Acción,Derecho de una persona para acudir a un juez y pedirle que resuelva un conflicto.
Actor,Persona que presenta la demanda y pide algo ante el juez.
Apoderado legal,Persona que actúa en nombre de otra porque recibió un poder por escrito para representarla.
Arraigo,Medida excepcional que permite restringir la libertad de una persona mientras se le investiga.
Certificación,Documento oficial que garantiza que una copia es igual al original.
Considerandos,Parte de la sentencia donde el juez explica los hechos, las pruebas y las razones legales de su decisión.
Controversia,Conflicto o desacuerdo legal entre dos o más personas.
Copia autorizada,Reproducción de un documento firmada y sellada por el tribunal, sin fe pública notarial.
Copia certificada,Reproducción oficial de un documento, validada por una autoridad con fe pública.
Copia íntegra e inalterada,Reproducción exacta de un documento oficial que no ha sido modificada.
Cuestión jurídica,Problema legal que debe resolver el juez aplicando las leyes.
Decisión,Resultado final que determina el juez después de estudiar el caso.
Demandado,Persona contra quien se presenta una demanda.
Derecho litigioso,Derecho que está siendo discutido o reclamado en un juicio.
Desahogo de pruebas,Acto procesal mediante el cual se presentan y valoran pruebas dentro del juicio.
Dictar sentencia,Acto formal mediante el cual el juez emite su resolución sobre el caso.
Expediente,Carpeta o archivo que contiene todos los documentos y actuaciones del juicio.
Firma electrónica,Firma digital con valor legal que permite identificar al juez o tribunal que emite un documento.
Fondo del litigio,Tema principal o problema de fondo que se discute en el juicio.
Hechos controvertidos,Acontecimientos que una parte afirma y la otra niega o cuestiona en el juicio.
Hechos relevantes,Sucesos importantes del caso que ayudan a resolver el conflicto.
Imputado,Persona a quien se le acusa de haber cometido un delito.
Incidente,Cuestión secundaria que surge dentro de un juicio y que debe resolverse antes de continuar.
Interlocutoria (sentencia),Resolución del juez que no pone fin al juicio, sino que resuelve un asunto intermedio.
Juicio,Proceso legal mediante el cual se resuelve un conflicto ante un juez.
Litigio,Disputa legal entre dos partes que se resuelve en tribunales.
Medios de prueba,Documentos, testimonios u otros elementos que sirven para demostrar hechos en un juicio.
Motivo de la controversia,Razón o causa por la cual surgió el conflicto legal.
Número de expediente,Clave o folio único que identifica un juicio o procedimiento ante el tribunal.
Parte,Persona que participa en un juicio como actor o demandado, víctima o imputado.
Prestaciones reclamadas,Cosas o beneficios que una persona le pide al juez que le ordene dar o hacer a la otra parte.
Procedimiento,Conjunto de pasos legales que deben seguirse para resolver un juicio.
Promovente,Persona que inicia un juicio o procedimiento.
Promover por propio derecho,Presentar una demanda en nombre propio, sin necesidad de representante legal.
Prueba,Documento, testimonio u objeto que sirve para demostrar un hecho en juicio.
Puntos resolutivos,Parte final de la sentencia donde el juez dice claramente qué se debe hacer o cumplir.
Ratio decidendi,Razón jurídica principal que justifica la decisión del juez. Es la norma aplicada al caso concreto.
Representante legal,Persona que actúa legalmente en nombre de otra por disposición de ley (como tutor o albacea).
Resolución,Decisión escrita de un juez sobre un asunto legal.
Resultandos,Parte de la sentencia donde se narran los antecedentes del caso, las partes y los hechos relevantes.
Sentencia,Resolución final del juez que decide el conflicto entre las partes.
Sentencia definitiva,Resolución que pone fin al juicio resolviendo el problema principal.
Tribunal,Órgano del Estado encargado de impartir justicia y resolver conflictos legales.
Valoración de pruebas,Proceso mediante el cual el juez analiza y decide cuánta confianza le merece cada prueba presentada en el juicio, para determinar si los hechos que se alegan realmente ocurrieron o no.
Víctima,Persona que sufre un daño por un delito y participa en el proceso penal.
